BWV,BC,Title,Key,Date,Genre,Scoring,Notes
Anh.131,—,March,F major,—,Marches,For keyboard,spurious; composed by Johann Christian Bach (W.A22); incomplete
Anh.132,—,Minuet,D minor,1725,Minuets,For keyboard,Bach's authorship uncertain
Anh.133–150,—,Pieces for a Musical Clock (18),,—,Pieces,For mechanical organ,spurious; composed by Wilhelm Friedemann Bach (F.207)
Anh.151,—,Concerto,C major,?,Concertos,For keyboard,Bach's authorship uncertain
Anh.152,—,Concerto,G major,?,Concertos,For keyboard,Bach's authorship uncertain
Anh.153,—,Violin Sonata,A major,?,Sonatas,"For violin, continuo",Bach's authorship uncertain
Anh.154,—,Violin Sonata,E♭ major,?,Sonatas,"For violin, keyboard",Bach's authorship uncertain
Anh.155,—,Concerto,A major,?,Concertos,"For keyboard, strings, continuo",Bach's authorship uncertain
Anh.156,—,"Herr Christ, der einge Gottessohn",,—,Sacred cantatas,"For mixed chorus, strings, continuo",spurious; composed by Georg Philipp Telemann (TWV 1:732)
Anh.157,—,Ich habe Lust zu scheiden,,—,Sacred cantatas,"For mixed chorus, orchestra",spurious; composed by Georg Philipp Telemann (TWV 1:836)
Anh.158,—,Andrò dall' colle aI Prato,,—,Arias,"For voice, flute, strings, continuo","spurious; composed by Johann Christian Bach (part of the operaOrione, ossia Diana vendicata, W.G4)"
Anh.159,C9,Ich lasse dich nicht,,1713?,Motets,For 2 mixed choruses,formerly attributed to Johann Christoph Bach
Anh.160,C7,"Jauchzet dem Herrn, alle Welt",,—,Motets,For 2 mixed choruses,spurious; composed by Georg Philipp Telemann (TWV 8:10)
Anh.161,—,Kündlich groß ist das gottselige Geheimnis,,—,Motets,"For 2 mixed choruses (strings, continuo?)",spurious; composed by Karl Heinrich Graun (GraunWV 10)
Anh.162,—,Lob und Ehre und Weisheit und Dank,,—,Motets,For 2 mixed choruses,spurious; composed by Georg Gottfried Wagner
Anh.163,—,"Merk auf, mein Herz und sieh dorthin",,—,Motets,For 2 mixed choruses,spurious; composed by Johann Christoph Bach
Anh.164,—,Nun danket alle Gott,,—,Motets,For mixed chorus,spurious; composed by Johann Christoph Altnikol
Anh.165,—,Unser Wandel ist im Himmel,,—,Motets,For mixed chorus,spurious; composed by Johann Ernst Bach
Anh.166,—,Mass,E minor,—,Masses,"For mixed chorus, strings, continuo",spurious; composed by Johann Ludwig Bach
