BWV,BC,Title,Key,Date,Genre,Scoring,Notes
070,A165,"Wachet, betet, seid bereit allezeit!",C major,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",based on BWV 70a
070a,A004,"Wachet, betet, seid bereit allezeit!",C major,1716,Sacred cantatas,,"text not lost, but music survives in a few individual parts; revised as BWV 70"
071,B01,Gott ist mein König,C major,1708,Secular cantatas,"For 4 voices, mixed chorus, orchestra",
072,A037,Alles nur nach Gottes Willen,A minor,1726,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",partly re-used in BWV 235
073,A035,"Herr, wie du willt, so schick's mit mir",G minor,"1724, rev. 1730–39?",Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
074,A083,"Wer mich liebet, der wird mein Wort halten",C major,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",partly based on BWV 59
075,A094,Die Elenden sollen essen,E minor,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
076/1,A097,Die Himmel erzählen die Ehre Gottes,C major,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",1st version
076/2,A185,Die Himmel erzählen die Ehre Gottes,C major,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",2nd version; partly re-used in BWV 528
077,A126,"Du sollt Gott, deinen Herren, lieben",C major,1723,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
078,A130,"Jesu, der du meine Seele",G minor,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
079,A184,Gott der Herr ist Sonn und Schild,G major,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra","partly re-used in BWV 234, BWV 236"
080,A183,Ein feste Burg ist unser Gott,D major,"1727–31, rev. 1744–47?",Sacred cantatas,"For 4 voices, mixed chorus, orchestra","based on BWV 80a, 80b; 1st version"
080a,A052,"Alles, was von Gott geboren",D major,1716,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",lost; revised in BWV 80
080b,A183,Ein feste Burg ist unser Gott,,1715,Sacred cantatas,,fragment only; revised in BWV 80
081,A039,"Jesus schläft, was soll ich hoffen?",E minor,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
082,A169,Ich habe genug,C minor,1727,Sacred cantatas,"For voice, oboe, strings, continuo",
083,A167,Erfreute Zeit im neuen Bunde,F major,1724,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
084,A043,Ich bin vergnügt mit meinem Glücke,E minor,1727,Sacred cantatas,"For voice, mixed chorus, orchestra",
085,A066,Ich bin ein guter Hirt,C minor,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
086,A073,"Wahrlich, wahrlich, ich sage euch",E major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
087,A074,Bisher habt ihr nichts gebeten in meinem Namen,D minor,1725,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
088,A105,"Siehe, ich will viel Fischer aussenden",D major,1726,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
089,A155,"Was soll ich aus dir machen, Ephraim",C minor,1723,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
090,A163,Es reißet euch ein schrecklich Ende,D minor,1723,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
091,A009,"Gelobet seist du, Jesu Christ",G major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
092,A042,Ich hab in Gottes Herz und Sinn,B minor,1725,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
093,A104,Wer nur den lieben Gott lässt walten,C minor,1725,Sacred cantatas,"For 4 voices, mixed chorus, 2 oboes, strings, continuo",movt.IV adapted in BWV 647
094,A115,Was frag ich nach der Welt,D major,1724,Sacred cantatas,"For 4 voices, mixed chorus, orchestra",
095,A136,"Christus, der ist mein Leben",G major,1723,Sacred cantatas,"For 3 voices, mixed chorus, orchestra",
